,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
35,35,5.0,0.5233874320983887,"article, page, wikipedia, use, thank, edit, talk, add, help, link",least give free pas vandalise abuse user name
36,36,12.0,0.9201684594154358,"comment, fuck, say, think, go, editor, article, know, time, even",say accord present understanding two related physical speed light true truer think accord reasonable understanding wavelength relate speed suppose example find light travel slightly faster eastwest direction northsouth direction unrealistically light would travel give time ew direction would ns direction time wavelength would also shorter ew direction wavelength always depend speed whatever rule apply speed
37,37,11.0,0.8430619835853577,"time, article, say, know, do, get, go, make, see, stupid",fails include expert opinion evidence contrary nist article implies competent engineer architect fire official believe conclusion nist report simply check example ae truthorg mention significant disagreement nist report conclusion summarize conspiracy theory dismissal accord poll percent american adult believe world trade center may destroy control demolition rather result plane impact idea reject nist conclude explosive control demolition involve collapse wtc tower ask nist test explosive residue nist spokesman michael newman respond nist saw evidence say go way clarification need one twin tower previously attack explosive plant basement terrorist prior attack enough reason investigate possibility explosive residue report failure undermines credibility nist investigation conclusion omission investigation justifies inclusion oppose analysis additional document evidence report ae truthorg source article highly bias toward correctness nist report ignore many serious criticism also imply nonexpert member general public believe may alternative explanation building collapse explosive could well plant ahead time terrorist attack carefully plan conspiracy
38,38,8.0,0.9089950919151306,"name, think, article, arab, common, time, use, read, christian, card",cock cock big incher find anomal root eleohant co cock jst large keen wank bring crane jst lift fucker also use hand full extent
39,39,5.0,0.4786795973777771,"article, page, wikipedia, use, thank, edit, talk, add, help, link",maybe need userbox user call abuse admin x time sure would see pointy join wer
40,40,9.0,0.883911669254303,"fact, know, article, call, go, people, time, degree, hypothesis, herd",nonsense first human travel time scientific organisation
41,41,3.0,0.6734001636505127,"article, page, edit, make, name, revert, category, talk, comment, remove",say wikipedia account granitestater neither campaign literature hatchet job belong wikipedia go revert otherwise remove recent pov addition article statement rightwing think tank rightwing newspaper editorial denounce shaheen appropriate news source introduce example opinion controversy oppose pov must get equal exposure campaign puffery course also inappropriate
42,42,7.0,0.5619422793388367,"article, use, source, change, make, first, information, say, also, see",polygamy revelation please see response comment page attribute revelation smith neither canonize definitive interpretation information true exist among smith historian insert material fact oppose theory encyclopedic begin edit would ask please specific widely know proven issue thanks move cited attribution smith scribe church elder w w phelps end sentence introduce polygamy revelation begin make attribution clearer also include follow citation one publish book one photograph w w phelps copy revelation resides lds historical department
43,43,2.0,0.4102029502391815,"people, say, article, wikipedia, think, know, see, position, really, make",hopefully screw format problem grammar check back later today see fix
44,44,3.0,0.6366572380065918,"article, page, edit, make, name, revert, category, talk, comment, remove",chapter desktop application article say wuala us dokan another article file system example say wuala us callback file system seem correct within current version wuala callback file system
45,45,1.0,0.8837475180625916,"nonsense, like, sandbox, use, experiment, consider_vandalism, also, county, add, article",gary chapman gary chapman link back amy grant
46,46,8.0,0.4460236430168152,"name, think, article, arab, common, time, use, read, christian, card",use ide drive need use ide ide road leave right fairly obvious talk left righthand side road keep thing consistent drive refer steer column hence leftright hand drive change leftdriving driving leave correspondence someone sale department gm south africa tell company could export righthand drive country southeast asia built car lefthand drive market like south africa explain southeast asia drove side road south africa
47,47,11.0,0.9523954391479492,"time, article, say, know, do, get, go, make, see, stupid",birthplace guess good clarify explicitly even though less three village name vrpolje zagora near otavice grow trovi indeed born slavonian village vrpolje
48,48,4.0,0.36197763681411743,"article, know, say, australian, think, book, get, good, give, use",indeed disney take million write film may worth give actual loss figure lede alongside bomb claim though avoid sort misunderstanding
49,49,7.0,0.6804249286651611,"article, use, source, change, make, first, information, say, also, see",make non neutral reversal edit article page add information repeatedly take variety editor incorporate syn change tone toward redundant advocacy
50,50,5.0,0.4812377691268921,"article, page, wikipedia, use, thank, edit, talk, add, help, link",please see reply warn put comment cyprus back talk page fuck go away also look rest edits need immediate ban bad kind contributor wikipedia could
51,51,12.0,0.8452088236808777,"comment, fuck, say, think, go, editor, article, know, time, even",asshole good change edit prick
52,52,9.0,0.3972025215625763,"fact, know, article, call, go, people, time, degree, hypothesis, herd",yes thank add immediately article major problem hard understand algorithm term sql every theorem trivial wellknown example theorem follow definition resolution proof system well add link papersbooks prove afraid algorithm use exponential amount memory primebased encode exactly place understand
53,53,4.0,0.6506338715553284,"article, know, say, australian, think, book, get, good, give, use",ga review review transcluded talkblair anderson warkga edit link section use add comment review pass ga hi happy tell article pass ga without need improvement list information article fare wikipediagood article criterion suggestion future development require achieve ga standard might help future aclass fac review process reasonably well write prose b mos write high standard factually accurate verifiable reference b citation reliable source c reference reliable appropriately position broad coverage major aspect b focused follow neutral point view policy fair representation b significant view stable contains image possible illustrate topic tag caption b lack image exclude ga c nonfree image fair use rationale overall passfail thankyou congratulation excellent addition wikipediagood article best
54,54,0.0,0.9804819226264954,"article, source, section, say, mention, think, know, make, go, thing",allegation section allegation mee muslim brotherhood introduced article broken separate section also remove characterization national article provide evidence clearly opinion belong article also remove listing instance mee reference seem appropriate reference statement nee use medium put back accordingly necessary could editors make sort change kindly come talk page explain
55,55,12.0,0.8567712903022766,"comment, fuck, say, think, go, editor, article, know, time, even",worry checkuser do show editor sigma pi phi monopoly ccson robotam mrdarcy cock suck queer faggot ass bitch black greek
56,56,5.0,0.46440595388412476,"article, page, wikipedia, use, thank, edit, talk, add, help, link",thanks help knife related article seem like onemantask time
57,57,2.0,0.9704768657684326,"people, say, article, wikipedia, think, know, see, position, really, make",http wikipedia verifiability policy require inline citation material challenge likely challenge quotation anywhere article space however editor advise provide citation material add wikipedia unsourced material risk unexpectedly challenge eventually remove see wikipediaciting source
58,58,5.0,0.6761733889579773,"article, page, wikipedia, use, thank, edit, talk, add, help, link",well stay current title meantime rename see medium reference future
59,59,0.0,0.9483444094657898,"article, source, section, say, mention, think, know, make, go, thing",ok ok sorry arabfriend complitely mistake first arab semits well indoeuropean lebanese arab like portuguese spanish latin second holy koran teach us respect people even religion bad good people crap talk like stupid politician world gwbush excuse go read koran especially surat el bakra god teach us truth pad god people da silva
60,60,7.0,0.8547285199165344,"article, use, source, change, make, first, information, say, also, see",myspacer masochist see matchcom profile hey everyone barneca gemini love long walks beach romantic dinner chat phone fact love love chat chat chat giggle phone person online chatterbox oh also like drip wax candle nipple wear dog collar whip belt call
61,61,5.0,0.8968155384063721,"article, page, wikipedia, use, thank, edit, talk, add, help, link",notice undid lot work wpus template work hope something say
62,62,5.0,0.49476632475852966,"article, page, wikipedia, use, thank, edit, talk, add, help, link",silly question okso might silly question probably anything contribute wikipediabut know user page yellow bar top link place yeah uhhh get sorry really silly unnecesary question
63,63,3.0,0.6115908622741699,"article, page, edit, make, name, revert, category, talk, comment, remove",two penny advice try delete statement en masse one line one line give good edit summary write arbitrary statement help promise revert case give explanation respect deletion regard
64,64,3.0,0.6836774945259094,"article, page, edit, make, name, revert, category, talk, comment, remove",erm mean ocd otc counter last time check see ocd perhaps available without prescription strike comment important official space deletion discussion etc original comment remain visible way something indicate user change mind whatever strike text wrap tag like produce tag like
65,65,11.0,0.8142715692520142,"time, article, say, know, do, get, go, make, see, stupid",god stupid sometimes thing write
66,66,8.0,0.9041666984558105,"name, think, article, arab, common, time, use, read, christian, card",yes even encyclopedia britanicca defines charavaka indian philosophy hindu sect charvaka scholar hinduism claim indian tradition hindus want absorb indian tradition call term hindu source present charvaka ajivika page claim hindu mostly hindu scholar even jains buddhist consider separate religion think hindu identity sama aphala sutta philosophy exist time buddha explain ajivika makkhali gosala nigatha nataputa mahavira also one disagree buddha dhamma call buddhists hindu scholar feel proud even reject scripturesvedas call hindu best regard
67,67,13.0,0.4020652174949646,"source, article, royal, relation, claim, science, ancestry, israel, white, think",october utc certainly dispute every ounce strength body legion strong national tie britain really understand point amount chip away go turn american
68,68,7.0,0.5193759202957153,"article, use, source, change, make, first, information, say, also, see",know since today first time ever use site go ahead change link toarchiveorg work fine
69,69,12.0,0.7678467631340027,"comment, fuck, say, think, go, editor, article, know, time, even",change back without consensus
70,70,3.0,0.3546522259712219,"article, page, edit, make, name, revert, category, talk, comment, remove",mcnazi image hello independently legitimacyornot use image please upload different filename start name unnecessary provocation could well interpret pov vandalism suggest solve amicably unbureaucratically simply reuploading elsewhere delete copy technically image can not move need use maneuvre use different issue
71,71,12.0,0.5300613045692444,"comment, fuck, say, think, go, editor, article, know, time, even",liquid diarrhea stylebackgroundcolor border px solid styleverticalalign middle pad px styleverticalalign middle pad px stinky
72,72,11.0,0.5571300387382507,"time, article, say, know, do, get, go, make, see, stupid",copyright violation article lift directly
73,73,3.0,0.38927266001701355,"article, page, edit, make, name, revert, category, talk, comment, remove",go againdo think dick head info come express phone number give call see full shit young male answer phone call week ago get info thuringowa mayor like say know lot people info mayor primary source info thuringowa thuringowa website sorry try improve article say info shop need know journalism fluff pov think like pov plus never make edits base secondary source pov remove thuringowa business anyway guess belong townsville article
74,74,9.0,0.7389485239982605,"fact, know, article, call, go, people, time, degree, hypothesis, herd",december utc hell speak spanish idea heck sandy meant cariso line although hell email user link sort understood hombre se fijen tanto en peque eces cool stuff
75,75,4.0,0.5227822065353394,"article, know, say, australian, think, book, get, good, give, use",drn hello please give us point view jerash article drn discussion article talk page take long time action even though provided evidence wrong information thanks advance
76,76,9.0,0.5315575003623962,"fact, know, article, call, go, people, time, degree, hypothesis, herd",see reason choose name relevant june till september till want strict call native population jordan palestinian land include mandate slim certainly factual
77,77,7.0,0.5913457870483398,"article, use, source, change, make, first, information, say, also, see",new base edits walt disney world monorail system article presume person previously operate account excuse go away stop try stir shit even part discussion article go
78,78,5.0,0.40716415643692017,"article, page, wikipedia, use, thank, edit, talk, add, help, link",read back note fail answer single one question point talk one party care listen
79,79,7.0,0.8286576271057129,"article, use, source, change, make, first, information, say, also, see",dear beneait occur change launch date might another source might first spot difference dismiss idea rif incorrect mere folly mention possible especially since davis well assessment time build four ship pretty convince suggest ask rif thanks head
80,80,5.0,0.5456134080886841,"article, page, wikipedia, use, thank, edit, talk, add, help, link",tag often happen someone gift article tag guide comment talk page one elaborate think tone inappropriate grammar style article lack remove tag within next couple day
81,81,4.0,0.28080976009368896,"article, know, say, australian, think, book, get, good, give, use",please take pov elsewhere rr quite incapable counting provide nothing would change longstanding statement article contribution regularly revert see love shit tried force obama article laugh as quite amuse
82,82,4.0,0.7489351630210876,"article, know, say, australian, think, book, get, good, give, use",ill try tackle project get chance idea cook help merge several page aircraft carrier list one table really best way put together long objection work chance
83,83,4.0,0.8839066624641418,"article, know, say, australian, think, book, get, good, give, use",article give versus recognise certainly significant change meaning
84,84,3.0,0.7958430647850037,"article, page, edit, make, name, revert, category, talk, comment, remove",lock page feature show wikipedia friend big tit come article luckly correct quickly showcase ability clean vandalism think convince
85,85,11.0,0.9577623605728149,"time, article, say, know, do, get, go, make, see, stupid",idea nazi fool say holocaust time say hate jew event kill million never happen accord proud holocaust denial go everything stand add somewhere
86,86,5.0,0.9725023508071899,"article, page, wikipedia, use, thank, edit, talk, add, help, link",hello welcome wikipedia notice user page may meet wikipedia user page guideline believe userpage violate guideline please leave note discus alternative may add dbuserreq top page question administrator delete simply edit page meet wikipedia userpage guideline thank
87,87,7.0,0.9056622385978699,"article, use, source, change, make, first, information, say, also, see",broad introductory section part article move terahertz radiation article
88,88,5.0,0.6649659276008606,"article, page, wikipedia, use, thank, edit, talk, add, help, link",dude care lol squidward duh vandalism correct thing improve wikipedia remember name pal long take aint nothing
89,89,1.0,0.6819712519645691,"nonsense, like, sandbox, use, experiment, consider_vandalism, also, county, add, article",newport city principal area county caerleon preserve county gwent use historic county monmouthshire would argue still information give article infobox
90,90,5.0,0.8741051554679871,"article, page, wikipedia, use, thank, edit, talk, add, help, link",vandalproof available lenghty muchneeded wikibreak happy announce version vandalproof available download beyond fix obnoxious bug like persistent crash startup many experienced version also offer wide variety new feature include stubsorter global user whitelist blacklist navigational control great customization find full list new feature believe release significant improvement last nonetheless nowhere near end line vandalproof thanks account testwikipediaorg sysop right already hard work incorporate administrative tool vandalproof plan make available near future example one sysop tool work incorporate tool simplifies process perform history merges one article another anyway already encourage download install version take testdrive always improvement always appreciate hope find new version useful happy editing
91,91,11.0,0.9327388405799866,"time, article, say, know, do, get, go, make, see, stupid",utc fuck jim everyone know female ijzeren jan jim harass basis medical chromosomal condition bear august
92,92,9.0,0.7180332541465759,"fact, know, article, call, go, people, time, degree, hypothesis, herd",also pull example others find one world recognizable skyline detroit waterfront panorama show variety architectural style past meet present city historic art deco skyscraper blend post modern neogothic spire comerica tower detroit center together gleam renaissance center form city marque write belongs tourist brochure prose need systematically audit thing like afraid revert
93,93,3.0,0.6902090311050415,"article, page, edit, make, name, revert, category, talk, comment, remove",barek take word mouth paragraph waste time associate nsa selinux code prism omit android remain open source cite businessweek article even quote linux foundation executive say code widely peerreviewed hence comment cherrypicking information source
94,94,3.0,0.561893105506897,"article, page, edit, make, name, revert, category, talk, comment, remove",little shit need calm fuck fall boy dead go time move newer shit emo music society produce find hilarious page protect anonymous user can not edit anything bunch baby
95,95,2.0,0.8142539262771606,"people, say, article, wikipedia, think, know, see, position, really, make",refuse open people idea
96,96,5.0,0.5375204682350159,"article, page, wikipedia, use, thank, edit, talk, add, help, link",would perhaps interested know guideline inclusion blog wikipedia apply guideline future posting find worthwhile research see compliance requirement
97,97,6.0,0.48107457160949707,"make, label, article, pa, give, change, see, want, get, new",give stub chance delete new article like greensealorg without discussion consultation put back green seal also add indicate notability
98,98,8.0,0.7212321162223816,"name, think, article, arab, common, time, use, read, christian, card",leo stolz article leo stolz delete last may part wikipediaarticles deletionjared martinelli however since time stolz hermann trophy top college soccer player united state mean qualifies notable per wpcollath also sign pro contract new york red bull major league soccer presumably enable qualify wpnfooty less two month anyway current version article find would willing restore mainspace take wikipediadeletion review
99,99,3.0,0.5407410860061646,"article, page, edit, make, name, revert, category, talk, comment, remove",appeal block note register account time ago use proxy edits account constructive perfectly understand block think something positive come point
100,100,6.0,0.6682418584823608,"make, label, article, pa, give, change, see, want, get, new",major news agency use term new york time climategate scientist admits awful emails peer say ipcc conclusion remain sound cbs news recent controversy surround climategate guardian climategate scandal involve university east anglia usa today mann suddenly find middle climategate scandal whether group want follow source nothing nothing less
101,101,7.0,0.5469657778739929,"article, use, source, change, make, first, information, say, also, see",silly rand clearly author influence philosophy label author
102,102,8.0,0.8112560510635376,"name, think, article, arab, common, time, use, read, christian, card",article family module singular
103,103,5.0,0.4795324504375458,"article, page, wikipedia, use, thank, edit, talk, add, help, link",actually look like correct date may people upload updated graph without update text accompanies
104,104,5.0,0.7257593870162964,"article, page, wikipedia, use, thank, edit, talk, add, help, link",know shark think soup cooking hey take care casp waste time diffs anyone want see bullshit game play wpnotnews wikilawyering shit rule arbitrary joker irc channel decide go hold breath apology edit history speaks stand perfect edit good faith happy compromise work collegially collaboratively anyone good faith make effort abide guideline oppose censorship dishonest hypocrisy worth stand wikipedia guideline vandalism abuse form cheer
105,105,12.0,0.7678274512290955,"comment, fuck, say, think, go, editor, article, know, time, even",think article must rename
106,106,0.0,0.387431263923645,"article, source, section, say, mention, think, know, make, go, thing",utc might clean still stray sentence article would much complete various feature mention context compare competitor feature discussion fit industry whole though article ignore electronic drum subtle npov issue also reference come place roland literature lot article magazine modern drummer would make good source april
107,107,11.0,0.9607933759689331,"time, article, say, know, do, get, go, make, see, stupid",person really home work heshe would know old aps afpps close personal protection ipp building person write another pissed police officer guess afpps know ask
108,108,5.0,0.36145254969596863,"article, page, wikipedia, use, thank, edit, talk, add, help, link",please add unsourced original content violate wikipedia verifiability policy would like experiment please use sandbox thank
109,109,0.0,0.9650678038597107,"article, source, section, say, mention, think, know, make, go, thing",take defer owneroperatorbuilder categorize system case like pretty similar confederation line instance may fully gradeseparated hard argue operator selfcategorizes light rail seattle case even clearly light rail simply fully gradeseparated extension line currently fully light rail san diego come midcoast trolley extension thing fullygrade separate suddenly make san diego trolley even part metro
110,110,3.0,0.4001017212867737,"article, page, edit, make, name, revert, category, talk, comment, remove",transfer discussion article talk page want say entirely ok omit orgasm part source knowledge connection genitals present male anecdotal evidence count know possible male orgasm rare orgasm strong mixed stimulation nipple anus still find section uh sexiness bit double standard design male chest around nipple area aesthetically please fetish male mostly queer audience interested heightening aspect male appreciate woman breast combine impression nipple erogenous impression section give unawareness fact male body appreciate equal manner existence homosexuality get source pretty sure nowhere near hard pun intend see many reason comment
111,111,7.0,0.5165185928344727,"article, use, source, change, make, first, information, say, also, see",suck school server
112,112,6.0,0.9061000347137451,"make, label, article, pa, give, change, see, want, get, new",two specialty search engine would like add ircxdcc search engine would also like add bit torrent meta search engine
113,113,8.0,0.6319853663444519,"name, think, article, arab, common, time, use, read, christian, card",beat amnesia find innuendo soldier beat relative victim amnesia bit ott care use reference also reference point entire website proof remark remove
114,114,1.0,0.7327868938446045,"nonsense, like, sandbox, use, experiment, consider_vandalism, also, county, add, article",evil person earth please add nonsense wikipedia consider vandalism would like experiment use sandbox thank
115,115,5.0,0.6977396011352539,"article, page, wikipedia, use, thank, edit, talk, add, help, link",thanks tip contact author template originate discussion answer soon least hope
116,116,0.0,0.6739665865898132,"article, source, section, say, mention, think, know, make, go, thing",yes isplease read wppwppvg
117,117,0.0,0.7834762930870056,"article, source, section, say, mention, think, know, make, go, thing",gay marketing please cite source article risk delete read like plug firm thanks
118,118,8.0,0.9479033946990967,"name, think, article, arab, common, time, use, read, christian, card",haydn classic tendentious edit consensus solidly still dig hole deeper remember wait right bottom hole keep digging
119,119,0.0,0.5397961735725403,"article, source, section, say, mention, think, know, make, go, thing",plural never say article plural form portuguese seem quite important
120,120,0.0,0.6398128271102905,"article, source, section, say, mention, think, know, make, go, thing",utc news article put length km may
121,121,12.0,0.7010890245437622,"comment, fuck, say, think, go, editor, article, know, time, even",read post sure go fill twisted policy guideline etc one rule like follow call ignoring rule try make wikipedia good place sometimes people like want everything do way refuse discus refuse use talk page care fuck system realist go like discuss thing talk page refuse even consider edits seriously go read propaganda
122,122,3.0,0.37257707118988037,"article, page, edit, make, name, revert, category, talk, comment, remove",reblock notice threeafterthree change block hour remove talk page comment disruptive indef block disproportionate may appeal block use notice
123,123,3.0,0.901115894317627,"article, page, edit, make, name, revert, category, talk, comment, remove",name languages article start zalman shazar hebrew zalman shazar belarusian zalman shneur russian zalman shazar translate english name belarusian different language
124,124,8.0,0.7826603055000305,"name, think, article, arab, common, time, use, read, christian, card",background need serious edit read like rough draft serious encyclopedic entry
125,125,2.0,0.9219678044319153,"people, say, article, wikipedia, think, know, see, position, really, make",regard block account dash boy want say observe blocklog dash boy find must see contribs user create user account even think ask user create many account see contribs dont much time want say give chance specification user user dash boy whose account block u contribute lot wikipedia create different account one time n unbeatableindia due reason forget password dash boy email id also contribute lot wikipedia person promote create account imagine account doesnot belong know people ruin reputation world wide web india people know wikipedia id block wrong well longer interested contribute get return ruin reputation block account shameful sorry thanks think develop encyclopedia like wikipedia delete person see contribs take decision love writing wikipedia see contribs unbeatableindia dash boy longer
126,126,5.0,0.5301657915115356,"article, page, wikipedia, use, thank, edit, talk, add, help, link",review remove new unreviewed tag solid article
127,127,0.0,0.46617698669433594,"article, source, section, say, mention, think, know, make, go, thing",able find research glean member socalled majority vote name change largely due fact wing base member come nonsouthern state thus along fear loss funding corporate sponsor squeamish name start little tongue cheek joke lead proud tradition become casualty politicalcorrectness hear member resign disgust say along line give come go name change ought cowardly air force hey occur maybe start another tongue cheek joke lead another proud tradition line original well perhaps southern state wing secede commemorative air force rebel reassume original proper name confederate air force
128,128,9.0,0.4876896142959595,"fact, know, article, call, go, people, time, degree, hypothesis, herd",afl article great see someone finally dedicate attention fix certainly need tried fix bad one around time brownlow last year really interest much
